CardName,Code,Level,Cost,Color,Type,Abilities,Zone,Trait,Link,AP/HP,Source Title
GM Sniper II,GD03-011,2,2,Blue,UNIT,-,Space Earth,(Earth Federation),-,2/3,Mobile Suit Gundam 0080: War in the Pocket
Messala (MA Mode),GD03-012,3,2,Blue,UNIT,"<Repair 1> (At the end of your turn, this Unit recovers the specified number of HP.)",Space Earth,(Titans) (Jupitris),(Jupitris) Trait,3/2,Mobile Suit Z Gundam
Hizack,GD03-013,2,2,Blue,UNIT,"While you have another (Jupitris) Unit in play, this Unit gets AP+1 and <Repair 1>. (At the end of your turn, this Unit recovers the specified number of HP.)",Space Earth,(Titans) (Jupitris),-,2/2,Mobile Suit Z Gundam
Hizack Custom,GD03-014,3,2,Blue,UNIT,"While you have 2 or more (Titans) Units in play, this card in your hand gets cost -1.",Space Earth,(Titans),-,3/2,Mobile Suit Z Gundam
Baund Doc,GD03-015,6,5,Blue,UNIT,"【Activate･Main】【Once per Turn】Exile 3 (Titans) cards from your trash: This Unit gains <Breach 4> during this turn. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",Space Earth,(Titans),[Jerid Messa],4/5,Mobile Suit Z Gundam
Full Armor Unicorn Gundam (Unicorn Mode),GD03-016,5,3,Blue,UNIT,-,Space Earth,(Civilian),[Banagher Links],5/4,Mobile Suit Gundam Unicorn
Kämpfer,GD03-017,4,3,Green,UNIT,【Burst】Choose 1 (Cyclops Team) Pilot card from your trash. Add it to your hand. 【When Paired･(Cyclops Team) Pilot】All your (Cyclops Team) Units may choose an active enemy Unit with 5 or less AP as their attack target during this turn.,Space Earth,(Zeon) (Cyclops Team),[Mikhail Kaminsky],4/3,Mobile Suit Gundam 0080: War in the Pocket
Altron Gundam,GD03-018,8,6,Green,UNIT,"<Breach 5> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.) 【Attack】Choose 1 enemy Unit with <Blocker>. Deal 5 damage to it.",Space Earth,(G Team),[Chang Wufei],5/6,Mobile Suit Gundam Wing
Gundam AGE-2 Normal,GD03-019,5,4,Green,UNIT,【During Pair】Enemy Units choose this rested Unit as their attack target if possible when attacking. 【When Linked】Place 1 EX Resource.,Space Earth,(Earth Federation) (AGE System),[Asemu Asuno],4/4,Mobile Suit Gundam AGE
Zaku Ⅱ FZ,GD03-020,2,2,Green,UNIT,"【When Paired】If there are 4 or more (Cyclops Team) cards in your trash, deploy 2 rested [Ad Balloon]((Civilian)･AP0･HP1･This Unit can't be set as active or paired with a Pilot) Unit tokens. While you have a Unit with ""Ad Balloon"" in its card name in play, this Unit can't receive enemy battle damage.",Space Earth,(Zeon) (Cyclops Team),[Bernard Wiseman],1/2,Mobile Suit Gundam 0080: War in the Pocket
Gundam Deathscythe Hell,GD03-021,8,7,Green,UNIT,"【Deploy】Choose 1 of your (Operation Meteor)/(G Team) Units. During this turn, it may choose an active enemy Unit as its attack target.",Space Earth,(G Team),[Duo Maxwell],6/5,Mobile Suit Gundam Wing
Gundam Kyrios,GD03-022,5,3,Green,UNIT,"【During Link】During your turn, when this Unit destroys an enemy Unit with battle damage, deal 1 damage to all enemy Units that are Lv.3 or lower.",Space Earth,(CB) (GN Drive),[Allelujah Haptism] / [Hallelujah Haptism],5/3,Mobile Suit Gundam 00
G-Bouncer,GD03-023,4,3,Green,UNIT,"When you place an EX Resource, choose 1 of your (AGE System) Units. It gains <High-Maneuver> during this turn. (This Unit can't be blocked.)",Space Earth,(Earth Federation),(Earth Federation) Trait,4/3,Mobile Suit Gundam AGE
Hy-Gogg,GD03-024,3,2,Green,UNIT,"【When Linked】If you have another (Cyclops Team) Unit in play, deploy 1 rested [Hy-Gogg]((Cyclops Team)･AP2･HP1) Unit token.",Earth,(Zeon) (Cyclops Team),(Cyclops Team) Trait,3/2,Mobile Suit Gundam 0080: War in the Pocket
Gundam Sandrock Custom,GD03-025,6,5,Green,UNIT,Enemy Units choose one of your rested (Maganac Corps) Units as their attack target if possible when attacking.,Space Earth,(G Team),[Quatre Raberba Winner],5/4,Mobile Suit Gundam Wing
Gundam Dynames,GD03-026,5,3,Green,UNIT,"<Breach 3> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",Space Earth,(CB) (GN Drive),[Lockon Stratos],4/4,Mobile Suit Gundam 00
Z’Gok E,GD03-027,3,2,Green,UNIT,-,Earth,(Zeon) (Cyclops Team),(Cyclops Team) Trait,3/3,Mobile Suit Gundam 0080: War in the Pocket
Auda's Maganac,GD03-028,3,2,Green,UNIT,"【Attack】If you are attacking an enemy Unit, this Unit gets AP+2 during this battle.",Space Earth,(Maganac Corps),(Maganac Corps) Trait,2/3,Mobile Suit Gundam Wing
Gundam Heavyarms Custom,GD03-029,6,5,Green,UNIT,"During your turn, when this Unit destroys an enemy Unit with battle damage, deal 2 damage to all enemy Units with <Blocker>.",Space Earth,(G Team),[Trowa Barton],4/5,Mobile Suit Gundam Wing
Gundam Kyrios (Tail Unit Flight Mode),GD03-030,3,3,Green,UNIT,"While you have a (CB) Link Unit in play, this card in your hand gets cost -1.",Space Earth,(CB) (GN Drive),[Allelujah Haptism] / [Hallelujah Haptism],3/4,Mobile Suit Gundam 00
Gundam AGE-1 Flat,GD03-031,4,2,Green,UNIT,-,Space Earth,(Earth Federation) (AGE System),(Asuno Family) Trait,4/3,Mobile Suit Gundam AGE
Zaku (Four Snake Eyes') [YETI] (GQ),GD03-032,2,1,Green,UNIT,-,Space Earth,(Clan),-,2/2,Mobile Suit Gundam GQuuuuuuX
Providence Gundam,GD03-033,7,5,Red,UNIT,"【During Pair･(ZAFT) Pilot】During your turn, all your (ZAFT) Units get AP+2. 【Attack】Choose 1 enemy Unit. Deal 1 damage to it for each 4 AP this Unit has.",Space Earth,(ZAFT),[Rau Le Creuset],5/5,Mobile Suit Gundam SEED
GQuuuuuuX (Omega Psycommu),GD03-034,8,7,Red,UNIT,<Suppression> (Damage to Shields by an attack is dealt to the first 2 cards simultaneously.) 【Deploy】Choose 1 enemy Unit. Deal 3 damage to it.,Space Earth,(Clan),[Amate Yuzuriha (Machu)] / [Nyaan],6/5,Mobile Suit Gundam GQuuuuuuX
GFreD,GD03-035,6,4,Red,UNIT,"【Activate･Main】【Once per Turn】①, exile 1 Pilot card from your trash: Deal 1 damage to all enemy Units. 【When Linked】During this turn, this Unit may choose an active enemy Unit with AP equal to or less than this Unit as its attack target.",Space Earth,(Zeon),[Nyaan],4/5,Mobile Suit Gundam GQuuuuuuX
Ξ Gundam (Flight Form),GD03-036,5,4,Red,UNIT,【When Linked】Deal 1 damage to all enemy Units.,Space Earth,(Mafty),[Hathaway Noa],4/4,Mobile Suit Gundam: Hathaway's Flash
Bertigo,GD03-037,5,4,Red,UNIT,"【During Link】During your turn, while this Unit is battling an enemy Unit with a 【Destroyed】 effect, it gains <First Strike>. (While this Unit is attacking, it deals damage before the enemy Unit.)",Space Earth,(SRA),(Newtype) Trait,4/4,After War Gundam X
GuAIZ (Commander Type),GD03-038,4,3,Red,UNIT,"【Activate･Main】<Support 1> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.) During your turn, when this Unit is rested by an effect, choose 1 of your (ZAFT) Units. It gets AP+2 during this turn.",Space Earth,(ZAFT),[Rau Le Creuset],4/3,Mobile Suit Gundam SEED
Red Gundam,GD03-039,4,2,Red,UNIT,"【Deploy】Choose 1 other active friendly (Clan) Unit. Rest it. If you do, choose 1 enemy Unit with 2 or less AP. Deal 2 damage to it.",Space Earth,(Clan),(Clan) Trait,2/4,Mobile Suit Gundam GQuuuuuuX
Gundam Virsago & Gundam Ashtaron,GD03-040,5,3,Red,UNIT,【During Link】This Unit gains <High-Maneuver>. (This Unit can't be blocked.),Space Earth,(New UNE),[Shagia Frost] / [Olba Frost],3/5,After War Gundam X
Patulia,GD03-041,7,6,Red,UNIT,【Deploy】Deal 3 damage to all Bases.,Space Earth,(SRA),[Carris Nautilus],5/6,After War Gundam X
Duel Gundam (Assault Shroud),GD03-042,5,3,Red,UNIT,"While this Unit has 5 or more AP, it may choose an active enemy Unit that is Lv.5 or lower as its attack target.",Space Earth,(ZAFT),[Yzak Jule],3/4,Mobile Suit Gundam SEED
Messer Type-F02,GD03-043,4,3,Red,UNIT,【When Paired】Choose 1 enemy Unit. Deal 1 damage to it.,Space Earth,(Mafty),(Mafty) Trait,3/2,Mobile Suit Gundam: Hathaway's Flash
Daughtress Flyer,GD03-044,3,2,Red,UNIT,【Deploy】Deploy 1 rested [Daughtress]((New UNE)･AP0･HP1) Unit token.,Space Earth,(New UNE),-,2/3,After War Gundam X
Balient,GD03-045,3,2,Red,UNIT,"While you have a Unit token in play, this Unit gets AP+1.",Space Earth,(New UNE),-,2/4,After War Gundam X
CGUE,GD03-046,2,2,Red,UNIT,-,Space Earth,(ZAFT),-,2/3,Mobile Suit Gundam SEED
DINN (Commander Type),GD03-047,4,2,Red,UNIT,-,Space Earth,(ZAFT),[Rau Le Creuset],3/4,Mobile Suit Gundam SEED
GFreD,GD03-048,4,2,Red,UNIT,"【Burst】If there are 3 or less enemy Shields, deploy 1 rested [GFreD]((Zeon)･AP4･HP3) Unit token.",Space Earth,(Zeon),[Nyaan],4/2,Mobile Suit Gundam GQuuuuuuX
Gundam Exia (Trans-Am),GD03-049,7,6,Purple,UNIT,"<Suppression> (Damage to Shields by an attack is dealt to the first 2 cards simultaneously.) When this Unit destroys an enemy shield area card with battle damage, if there are 10 or more (CB) cards in your trash, choose 1 enemy Unit with the lowest HP. Destroy it.",Space Earth,(CB) (GN Drive),[Setsuna F. Seiei],6/4,Mobile Suit Gundam 00
Gundam Barbatos Lupus,GD03-050,7,6,Purple,UNIT,"【Activate･Main】Choose 3 (Tekkadan)/(Teiwaz) Unit cards from your trash. Exile them from the game. If you do, choose 1 enemy Unit. Deal 2 damage to it.",Space Earth,(Tekkadan) (Gundam Frame),[Mikazuki Augus],5/5,Mobile Suit Gundam IRON-BLOODED ORPHANS
Gundam X Divider,GD03-051,6,4,Purple,UNIT,【When Linked】You may choose 1 Unit card that is Lv.4 or lower from your trash. Pay its cost to deploy it.,Space Earth,(Vulture),[Garrod Ran] / [Jamil Neate],4/4,After War Gundam X
Gundam Virtue,GD03-052,5,4,Purple,UNIT,"【Activate･Main】<Support 2> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.) When this Unit deals battle damage to an enemy Unit that is Lv.5 or lower, if you have a (CB) Pilot in play, destroy that enemy Unit.",Space Earth,(CB) (GN Drive),[Tieria Erde],3/3,Mobile Suit Gundam 00
Gundam Gusion Rebake Full City,GD03-053,6,5,Purple,UNIT,"<Blocker> (Rest this Unit to change the attack target to it.) 【During Pair】【Once per Turn】During your turn, when one of your (Tekkadan)/(Teiwaz) Units receives effect damage, choose 1 enemy Unit that is Lv.4 or lower. Rest it.",Space Earth,(Tekkadan) (Gundam Frame),[Akihiro Altland],5/4,Mobile Suit Gundam IRON-BLOODED ORPHANS
Zeydra,GD03-054,6,5,Purple,UNIT,"<High-Maneuver> (This Unit can't be blocked.) 【When Paired･(X-Rounder) Pilot】You may choose 4 (Vagan) cards from your trash. Exile them from the game. If you do, choose 1 enemy Unit that is Lv.4 or lower. Destroy it.",Space Earth,(Vagan),[Zeheart Galette],4/5,Mobile Suit Gundam AGE
Gundam Hajiroboshi (2nd Form),GD03-055,4,2,Purple,UNIT,【When Paired･Purple Pilot】Choose 1 enemy Unit that is Lv.2 or lower. Destroy it.,Space Earth,(Civilian) (Gundam Frame),[Wistario Afam],4/3,Mobile Suit Gundam IRON-BLOODED ORPHANS
Gundam Barbatos Adapt,GD03-056,4,2,Purple,UNIT,【Deploy】Choose 1 of your Units and 1 enemy Unit. Deal 1 damage to them.,Space Earth,(Tekkadan) (Gundam Frame),[Mikazuki Augus],2/4,Mobile Suit Gundam IRON-BLOODED ORPHANS
GN Armor (Type-E),GD03-057,6,4,Purple,UNIT,<Blocker> (Rest this Unit to change the attack target to it.),Space Earth,(CB) (GN Drive),(CB) Trait,5/4,Mobile Suit Gundam 00
Farsia,GD03-058,2,2,Purple,UNIT,This card in your trash gets cost -1.,Space Earth,(UE) (Vagan),[Yurin L'Ciel],2/2,Mobile Suit Gundam AGE
Zedas R,GD03-059,4,3,Purple,UNIT,"【Attack】You may choose 1 (Vagan) card from your trash. Exile it from the game. If you do, choose 1 of your (Vagan) Units. It gets AP+2 during this turn.",Space Earth,(Vagan),(X-Rounder) Trait,4/3,Mobile Suit Gundam AGE
CGS Mobile Worker (Commander Type),GD03-060,2,2,Purple,UNIT,"【Once per Turn】During your turn, when this Unit receives effect damage, deploy 1 rested [CGS Mobile Worker]((Tekkadan)･AP1･HP1) Unit token.",Earth,(Tekkadan),-,-/2,Mobile Suit Gundam IRON-BLOODED ORPHANS
Gundam Barbatos 6th Form,GD03-061,6,5,Purple,UNIT,"While this Unit has 1 HP, it gains <Repair 3>. (At the end of your turn, this Unit recovers the specified number of HP.)",Space Earth,(Tekkadan) (Gundam Frame),[Mikazuki Augus],5/4,Mobile Suit Gundam IRON-BLOODED ORPHANS
GX-Bit,GD03-062,4,2,Purple,UNIT,"【Deploy】If you deploy this Unit from your trash, choose 1 enemy Unit with 4 or less AP. Deal 2 damage to it.",Space Earth,(Old UNE) (Vulture),-,3/3,After War Gundam X
0 Gundam,GD03-063,2,1,Purple,UNIT,-,Space Earth,(CB) (GN Drive),-,2/2,Mobile Suit Gundam 00
Defurse,GD03-064,5,4,Purple,UNIT,"【Deploy】You may choose 1 (X-Rounder) card from your trash and add it to your hand. If you do, discard 1.",Space Earth,(UE) (Vagan),-,2/5,Mobile Suit Gundam AGE
Zedas M,GD03-065,3,2,Purple,UNIT,-,Space Earth,(Vagan),(X-Rounder) Trait,3/3,Mobile Suit Gundam AGE
Gundam Barbatos 5th Form (Ground Type),GD03-066,5,3,Purple,UNIT,-,Earth,(Tekkadan) (Gundam Frame),[Mikazuki Augus],5/4,Mobile Suit Gundam IRON-BLOODED ORPHANS
Rouei,GD03-067,4,3,Purple,UNIT,【Deploy】You may choose 1 of your Units. Deal 1 damage to it. It gets AP+1 during this turn.,Earth,(Teiwaz) (Tekkadan),(Teiwaz) / (Tekkadan) Trait,3/4,Mobile Suit Gundam IRON-BLOODED ORPHANS
Gundam Hajiroboshi,GD03-068,3,2,Purple,UNIT,"While a friendly Base is in play, this Unit gains <Blocker>. (Rest this Unit to change the attack target to it.)",Space Earth,(Civilian) (Gundam Frame),[Wistario Afam],3/3,Mobile Suit Gundam IRON-BLOODED ORPHANS
Graham's Union Flag Custom,GD03-069,4,3,White,UNIT,"<High-Maneuver> (This Unit can't be blocked.) 【During Link】At the end of the turn when this Unit is paired with a Pilot, set it as active.",Space Earth,(Superpower Bloc),[Graham Aker],4/2,Mobile Suit Gundam 00
Freedom Gundam,GD03-070,6,5,White,UNIT,"While this Unit is rested, friendly Shields can't receive battle damage from enemy Units.",Space Earth,(Triple Ship Alliance),[Kira Yamato],4/5,Mobile Suit Gundam SEED
Z Gundam (Biosensor),GD03-071,7,5,White,UNIT,"【Deploy】Choose 1 enemy Unit. For each (AEUG) Unit card in your trash, it gets AP-1 during this turn.",Space Earth,(AEUG),[Kamille Bidan],5/5,Mobile Suit Z Gundam
Aile Strike Gundam,GD03-072,4,3,White,UNIT,"<Blocker> (Rest this Unit to change the attack target to it.) 【Deploy】If you have another (Triple Ship Alliance) Unit in play, draw 1. Then, discard 1.",Space Earth,(Triple Ship Alliance),[Mu La Flaga],3/4,Mobile Suit Gundam SEED
Graze Ein,GD03-073,7,5,White,UNIT,"<Blocker> (Rest this Unit to change the attack target to it.) 【During Link】【Activate･Action】【Once per Turn】If there are 6 or more (Gjallarhorn) cards in your trash, choose 1 enemy Unit battling this Unit. It gets AP-3 during this battle.",Space Earth,(Gjallarhorn),[Ein Dalton],6/4,Mobile Suit Gundam IRON-BLOODED ORPHANS
Tieren Taozi,GD03-074,3,2,White,UNIT,"【During Pair】While you have another (Superpower Bloc) Unit in play, enemy Units choose this rested Unit as their attack target if possible when attacking.",Space Earth,(Superpower Bloc),(Super Soldier) Trait,3/1,Mobile Suit Gundam 00
Super Gundam,GD03-075,5,4,White,UNIT,【During Link】【Attack】Choose 1 enemy Unit with no paired Pilot. It gets AP-2 during this turn.,Space Earth,(AEUG),(AEUG) Trait,4/4,Mobile Suit Z Gundam
Freedom Gundam (METEOR),GD03-076,8,6,White,UNIT,"【Once per Turn】During your turn, when your (Triple Ship Alliance) Unit deals battle damage to an enemy Unit, you may return the enemy Unit to its owner's hand.",Space,(Triple Ship Alliance),[Kira Yamato],6/6,Mobile Suit Gundam SEED
Justice Gundam (METEOR),GD03-077,8,7,White,UNIT,【When Linked】Choose 1 to 3 enemy Units with 3 or less HP. Return them to their owners' hands.,Space,(Triple Ship Alliance),[Athrun Zala],6/6,Mobile Suit Gundam SEED
Tieren High Mobility Type,GD03-078,2,2,White,UNIT,【During Link】【Destroyed】Return the card paired with this Unit to your hand.,Space Earth,(Superpower Bloc),[Sergei Smirnov],3/1,Mobile Suit Gundam 00
G-Defenser,GD03-079,3,2,White,UNIT,"When you rest your Base with one of your Units' effects, you may rest this Unit instead.",Space Earth,(AEUG),(AEUG) Trait,3/2,Mobile Suit Z Gundam
Gundam Kimaris Trooper (Trooper Mode),GD03-080,6,4,White,UNIT,【When Linked】Choose 1 (Gjallarhorn) Command card from your trash. Add it to your hand.,Space Earth,(Gjallarhorn) (Gundam Frame),[Gaelio Bauduin],5/4,Mobile Suit Gundam IRON-BLOODED ORPHANS
AEU Enact Demonstration Color,GD03-081,2,1,White,UNIT,This Unit can only attack during a turn when one of your (Superpower Bloc)/(UN) Units is deployed.,Space Earth,(Superpower Bloc),(Superpower Bloc) Trait,2/1,Mobile Suit Gundam 00
Union Flag,GD03-082,3,2,White,UNIT,"While you have 2 or more (Superpower Bloc)/(UN) Units in play, this card in your hand gets cost -1.",Space Earth,(Superpower Bloc),-,4/1,Mobile Suit Gundam 00
AEU Hellion,GD03-083,1,1,White,UNIT,<Blocker> (Rest this Unit to change the attack target to it.),Space Earth,(Superpower Bloc),-,1/1,Mobile Suit Gundam 00
Paptimus Scirocco,GD03-084,5,1,Blue,PILOT,"【Burst】Add this card to your hand. 【When Linked】Choose 1 of your other Units. It gains <Repair 2> during this turn. Then, if it is a (Jupitris) Unit, draw 1. (At the end of your turn, this Unit recovers the specified number of HP.)",-,(Titans) (Jupitris) (Newtype),-,+2/+2,Mobile Suit Z Gundam
Christina Mackenzie,GD03-085,3,1,Blue,PILOT,"【Burst】Add this card to your hand. When playing this card from your hand and pairing it with a Unit with ""Gundam NT-1"" in its card name, play this card as if it has 0 cost.",-,(Earth Federation),-,+1/+1,Mobile Suit Gundam 0080: War in the Pocket
Yazan Gable,GD03-086,4,1,Blue,PILOT,【Burst】Add this card to your hand. 【Attack】Choose 1 of your (Titans) Units whose Lv. is equal to or lower than this Unit. It gets AP+1 during this turn.,-,(Titans),-,+1/+2,Mobile Suit Z Gundam
Sarah Zabiarov,GD03-087,3,1,Blue,PILOT,【Burst】Add this card to your hand. 【When Linked】Choose 1 enemy Unit that is Lv.3 or lower. Rest it.,-,(Titans) (Jupitris) (Newtype),-,+1/+1,Mobile Suit Z Gundam
Asemu Asuno,GD03-088,4,1,Green,PILOT,"【Burst】Add this card to your hand. 【During Link】If this is an (AGE System) Unit, it gets AP+1 and <Breach 1>. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",-,(Earth Federation) (Asuno Family),-,+2/+1,Mobile Suit Gundam AGE
Bernard Wiseman,GD03-089,2,1,Green,PILOT,【Burst】Add this card to your hand. Increase this Unit's AP by an amount equal to the number of (Cyclops Team) Pilot cards/Command cards with unique names in your trash.,-,(Zeon) (Cyclops Team),-,+0/+1,Mobile Suit Gundam 0080: War in the Pocket
Mikhail Kaminsky,GD03-090,4,1,Green,PILOT,"【Burst】Add this card to your hand. 【Attack】Choose 1 of your (Cyclops Team) Units. It gains <Breach 1> during this turn. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",-,(Zeon) (Cyclops Team),-,+2/+1,Mobile Suit Gundam 0080: War in the Pocket
Rau Le Creuset,GD03-091,4,1,Red,PILOT,【Burst】Add this card to your hand. 【When Linked】Choose 1 (ZAFT) Base card from your trash. Add it to your hand.,-,(ZAFT),-,+2/+1,Mobile Suit Gundam SEED
Nyaan,GD03-092,4,1,Red,PILOT,"【Burst】Add this card to your hand. 【When Linked】Place the top card of your deck into your trash. If you placed a (Zeon)/(Clan) card with this effect, choose 1 enemy Unit. Deal 1 damage to it.",-,(Zeon) (Newtype),-,+1/+2,Mobile Suit Gundam GQuuuuuuX
Carris Nautilus,GD03-093,4,1,Red,PILOT,"【Burst】Add this card to your hand. While no enemy Base is in play, this Unit gets AP+1.",-,(SRA) (Newtype),-,+2/+1,After War Gundam X
Zeheart Galette,GD03-094,5,1,Purple,PILOT,"【Burst】Add this card to your hand. 【When Paired】Place the top 2 cards of your deck into your trash. If you placed a (Vagan) card with this effect, choose 1 enemy Unit. It gets AP-2 during this turn.",-,(Vagan) (X-Rounder),-,+2/+2,Mobile Suit Gundam AGE
Azee Gurumin,GD03-095,4,1,Purple,PILOT,"【Burst】Add this card to your hand. 【Once per Turn】When this Unit receives effect damage, choose 1 enemy Unit. It gets AP-1 during this turn.",-,(Teiwaz),-,+1/+2,Mobile Suit Gundam IRON-BLOODED ORPHANS
Jamil Neate,GD03-096,4,1,Purple,PILOT,"【Burst】Add this card to your hand. 【During Link】【Attack】You may discard 1. If you do, draw 1.",-,(Vulture) (Newtype),-,+2/+1,After War Gundam X
Wistario Afam,GD03-097,4,1,Purple,PILOT,"【Burst】Add this card to your hand. 【During Link】【Once per Turn】During your turn, when this Unit destroys an enemy Unit with battle damage, look at the top 2 cards of your deck and return 1 to the top. Place the remaining card into your trash.",-,(Civilian),-,+1/+2,Mobile Suit Gundam IRON-BLOODED ORPHANS
Graham Aker,GD03-098,4,1,White,PILOT,"【Burst】Add this card to your hand. 【During Link】When this rested Unit is set as active by an effect, choose 1 enemy Unit with 3 or less HP. Return it to its owner's hand.",-,(Superpower Bloc) (UN),-,+2/+1,Mobile Suit Gundam 00
Emma Sheen,GD03-099,3,1,White,PILOT,"【Burst】Add this card to your hand. 【During Link】【Destroyed】If a friendly white Base is in play, choose 1 enemy Unit whose Lv. is equal to or lower than this Unit. Return it to its owner's hand.",-,(AEUG),-,+1/+1,Mobile Suit Z Gundam
Soma Peries,GD03-100,3,1,White,PILOT,【Burst】Add this card to your hand. 【Destroyed】Choose 1 enemy Unit. It gets AP-3 during this turn.,-,(Superpower Bloc) (UN) (Super Soldier),-,+1/+1,Mobile Suit Gundam 00
A Healthy Curiosity,GD03-101,3,1,Blue,COMMAND,"【Main】Draw 1. Then, if there are 2 or more cards with ""A Healthy Curiosity"" in their card name in your trash, choose 1 enemy Unit with 4 or less HP. Rest it.",-,-,-,-/-,Mobile Suit Gundam 0080: War in the Pocket
Privileged Position,GD03-102,6,2,Blue,COMMAND,【Burst】Draw 1. 【Action】Choose 1 of your (Titans) Link Units battling an enemy Unit. Set it as active.,-,-,-,-/-,Mobile Suit Z Gundam
Field Directive,GD03-103,4,1,Blue,COMMAND,"【Burst】Choose 1 enemy Unit with 2 or less HP. Rest it. 【Main】If 3 or more enemy Units are in play, choose 1 rested enemy Unit. Deal 2 damage to it.",-,-,-,-/-,Mobile Suit Gundam: Hathaway's Flash
Reccoa's Shadow,GD03-104,3,1,Blue,COMMAND,"【Main】/【Action】Choose 1 enemy Unit with 3 or less HP. Rest it. If a friendly (Jupitris) Link Unit is in play, choose 1 to 2 enemy Units with 3 or less HP instead. 【Pilot】[Reccoa Londe]",-,(Titans) (Jupitris),-,+1/+0,Mobile Suit Z Gundam
Bridge Crew,GD03-105,4,1,Green,COMMAND,"【Burst】Add this card to your hand. 【Main】Choose 1 friendly Unit. During this turn, it may choose an active enemy Unit that has no Pilot paired with it as its attack target.",-,-,-,-/-,Mobile Suit Gundam 00
M.A.V. Tactics,GD03-106,6,4,Green,COMMAND,【Main】Deploy 1 rested [GQuuuuuuX (Omega Psycommu)]((Clan)･AP3･HP2) Unit token and 1 rested [Red Gundam]((Clan)･AP2･HP3) Unit token.,-,-,-,-/-,Mobile Suit Gundam GQuuuuuuX
Over the River and Through the Woods,GD03-107,4,1,Green,COMMAND,【Main】Choose 1 enemy Unit that is Lv.5 or lower. Deal damage to it equal to the number of friendly Unit tokens in play. 【Pilot】[Hardie Steiner],-,(Zeon) (Cyclops Team),-,+1/+1,Mobile Suit Gundam 0080: War in the Pocket
How Many Miles to the Battlefield?,GD03-108,3,1,Green,COMMAND,【Main】Deploy 1 [Hy-Gogg]((Cyclops Team)･AP2･HP1) Unit token. 【Pilot】[Gabriel Ramirez Garcia],-,(Zeon) (Cyclops Team),-,+1/+0,Mobile Suit Gundam 0080: War in the Pocket
