CardName,Code,Level,Cost,Color,Type,Abilities,Zone,Trait,Link,AP/HP,Source Title
Sayla's Light-Type Guncannon,GD02-046,4,2,Red,UNIT,【Deploy】Choose 1 enemy Unit token. Deal 2 damage to it.,Space Earth,(Earth Federation),[Sayla Mass],3/4,Mobile Suit Gundam GQuuuuuuX
Gaza C,GD02-047,1,1,Red,UNIT,【Activate･Main】Rest this Unit：Destroy this and choose 1 enemy Unit that is Lv.5 or lower. Deal 1 damage to it.,Space Earth,(Neo Zeon),-,-/1,Mobile Suit Z Gundam
Zaku Ⅲ (Sleeves),GD02-048,3,2,Red,UNIT,-,Space Earth,(Neo Zeon),(Neo Zeon) Trait,4/1,Mobile Suit Gundam Unicorn
Daughtress,GD02-049,1,1,Red,UNIT,【Activate･Main】<Support 1> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.),Space Earth,(New UNE),-,1/1,After War Gundam X
Ga-Zowmn (Sleeves),GD02-050,2,2,Red,UNIT,-,Space Earth,(Neo Zeon),-,3/2,Mobile Suit Gundam Unicorn
01 Gundam,GD02-051,2,2,Red,UNIT,-,Space Earth,(Earth Federation),-,2/3,Mobile Suit Gundam GQuuuuuuX
Guncannon (GQ),GD02-052,2,2,Red,UNIT,-,Space Earth,(Earth Federation),-,3/2,Mobile Suit Gundam GQuuuuuuX
Gundam X,GD02-053,7,5,Purple,UNIT,"[Suppression] (Damage to Shields by an attack is dealt to the first 2 cards simultaneously.) 【During Link】During your turn, while there are 7 or more cards in your trash, all your other (Vulture) Units get AP+2.",Space Earth,(Vulture),[Garrod Ran],6/5,After War Gundam X
Gundam Barbatos 1st Form,GD02-054,3,2,Purple,UNIT,"【Attack】If this Unit is damaged, draw 1.",Space Earth,(Tekkadan) (Gundam Frame),[Mikazuki Augus],3/2,Mobile Suit Gundam IRON-BLOODED ORPHANS
Gundam Gusion Rebake,GD02-055,5,4,Purple,UNIT,<Blocker> (Rest this Unit to change the attack target to it.) 【Deploy】Choose 1 of your Units and 1 enemy Unit. Deal 1 damage to them.,Space Earth,(Tekkadan) (Gundam Frame),[Akihiro Altland],3/5,Mobile Suit Gundam IRON-BLOODED ORPHANS
Gundam X,GD02-056,4,3,Purple,UNIT,【During Pair･(Vulture) Pilot】【Destroyed】Choose 1 (Vulture) Unit card that is Lv.5 or higher from your trash. Add it to your hand.,Space Earth,(Vulture),[Garrod Ran],3/4,After War Gundam X
Zedas,GD02-057,5,3,Purple,UNIT,"【During Pair】【Attack】You may choose 1 of your other Units. Destroy it. If you do, choose 1 enemy Unit that is Lv.4 or lower. Deal 2 damage to it.",Space Earth,(UE) (Vagan),[Desil Galette],5/3,Mobile Suit Gundam AGE
Ryusei-Go (Graze Custom Ⅱ),GD02-058,3,2,Purple,UNIT,"【Deploy】Choose 1 of your Units. Deal 1 damage to it. If you do, draw 1. Then, discard 1.",Space Earth,(Tekkadan),(Tekkadan) Trait,2/2,Mobile Suit Gundam IRON-BLOODED ORPHANS
Gundam Airmaster,GD02-059,4,3,Purple,UNIT,<Blocker> (Rest this Unit to change the attack target to it.),Space Earth,(Vulture),(Vulture) Trait,4/3,After War Gundam X
Gundam Leopard,GD02-060,5,4,Purple,UNIT,"【Deploy】If there are 7 or more cards in your trash, choose 1 enemy Unit that is Lv.4 or lower. Rest it.",Space Earth,(Vulture),[Roybea Loy],4/4,After War Gundam X
Hyakuri,GD02-061,4,2,Purple,UNIT,"【When Paired･Purple Pilot】If there are 3 or more (Teiwaz)/(Tekkadan) cards in your trash, choose 1 enemy Unit with 3 or less AP. Rest it.",Space,(Teiwaz),(Teiwaz) Trait,3/3,Mobile Suit Gundam IRON-BLOODED ORPHANS
Amida's Hyakuren,GD02-062,4,2,Purple,UNIT,-,Space Earth,(Teiwaz),(Teiwaz) Trait,3/4,Mobile Suit Gundam IRON-BLOODED ORPHANS
Gundam Airmaster (Fighter Mode),GD02-063,3,2,Purple,UNIT,-,Space Earth,(Vulture),(Vulture) Trait,3/3,After War Gundam X
Gundam Leopard,GD02-064,5,4,Purple,UNIT,"During your turn, while there are 7 or more cards in your trash, this Unit can't receive effect damage from enemy Commands.",Earth,(Vulture),(Vulture) Trait,4/4,After War Gundam X
Jenice Custom,GD02-065,1,1,Purple,UNIT,-,Earth,(Vulture),-,1/2,After War Gundam X
Gafran,GD02-066,2,1,Purple,UNIT,This Unit can't choose the enemy player as its attack target.,Space Earth,(UE) (Vagan),-,2/3,Mobile Suit Gundam AGE
Baqto,GD02-067,2,2,Purple,UNIT,-,Space Earth,(UE) (Vagan),-,2/3,Mobile Suit Gundam AGE
Gundam Barbatos 3rd Form,GD02-068,4,2,Purple,UNIT,【Deploy】Deal 2 damage to this Unit.,Space Earth,(Tekkadan) (Gundam Frame),(Tekkadan) Trait,3/5,Mobile Suit Gundam IRON-BLOODED ORPHANS
Zeta Gundam,GD02-069,6,5,White,UNIT,"【During Link】【Activate･Main】【Once per Turn】Choose 1 active friendly Base. Rest it. If you do, set this Unit as active. It can't choose the enemy player as its attack target during this turn.",Space Earth,(AEUG),[Kamille Bidan],5/4,Mobile Suit Z Gundam
Gundam Kimaris,GD02-070,5,4,White,UNIT,"【Deploy】If there are 4 or more (Gjallarhorn) cards in your trash, draw 2. If you do, discard 2.",Space Earth,(Gjallarhorn) (Gundam Frame),[Gaelio Bauduin],4/4,Mobile Suit Gundam IRON-BLOODED ORPHANS
Gundam Mk-II (AEUG),GD02-071,4,3,White,UNIT,"【Deploy】If a friendly white Base is in play, you may pair 1 (AEUG) Pilot card from your hand with this Unit.",Space Earth,(AEUG),(AEUG) Trait,3/4,Mobile Suit Z Gundam
Hyaku-Shiki,GD02-072,5,3,White,UNIT,"<Blocker> (Rest this Unit to change the attack target to it.) While a friendly white Base is in play, this Unit gains <Repair 1>. (At the end of your turn, this Unit recovers the specified number of HP.)",Space Earth,(AEUG),[Quattro Bajeena],4/4,Mobile Suit Z Gundam
Carta's Graze Ritter (Ground Type),GD02-073,4,3,White,UNIT,"During your opponent's turn, the enemy Unit battling this Unit gains <First Strike>. (While this Unit is attacking, it deals damage before the enemy Unit.)",Earth,(Gjallarhorn),[Carta Issue],5/4,Mobile Suit Gundam IRON-BLOODED ORPHANS
Gundam Aerial Rebuild,GD02-074,7,5,White,UNIT,"<High-Maneuver> (This Unit can't be blocked.) 【During Pair】While there are 4 or more Command cards in your trash, this Unit gains <Blocker>. (Rest this Unit to change the attack target to it.)",Space Earth,(Academy),[Suletta Mercury],5/5,Mobile Suit Gundam the Witch from Mercury
Rick Dias (Red),GD02-075,4,3,White,UNIT,"【Attack】Choose 1 active friendly Base. Rest it. If you do, choose 1 enemy Unit that is Lv.4 or lower. It gets AP-2 during this battle.",Space Earth,(AEUG),(AEUG) Trait,4/3,Mobile Suit Z Gundam
Buster Gundam,GD02-076,4,3,White,UNIT,"While this Unit has 5 or more AP, it gains <Blocker>. (Rest this Unit to change the attack target to it.)",Space Earth,(Triple Ship Alliance),(Coordinator) Trait,4/3,Mobile Suit Gundam SEED
Ein's Schwalbe Graze,GD02-077,4,2,White,UNIT,-,Space Earth,(Gjallarhorn),(Gjallarhorn) Trait,4/3,Mobile Suit Gundam IRON-BLOODED ORPHANS
Gundam Pharact,GD02-078,5,3,White,UNIT,-,Space Earth,(Academy),[Elan Ceres],5/4,Mobile Suit Gundam the Witch from Mercury
Rick Dias,GD02-079,3,2,White,UNIT,<Blocker> (Rest this Unit to change the attack target to it.),Space Earth,(AEUG),-,3/3,Mobile Suit Z Gundam
Nemo,GD02-080,2,1,White,UNIT,-,Space Earth,(AEUG),-,2/2,Mobile Suit Z Gundam
Methuss,GD02-081,2,2,White,UNIT,"【Deploy】If a friendly white Base is in play, choose 1 enemy Unit. It gets AP-2 during this turn.",Space Earth,(AEUG),[Fa Yuiry],1/1,Mobile Suit Z Gundam
Gaelio's Schwalbe Graze,GD02-082,3,2,White,UNIT,"While you have another (Gjallarhorn) Unit in play, this Unit gains <Blocker>. (Rest this Unit to change the attack target to it.)",Space Earth,(Gjallarhorn),[Gaelio Bauduin],3/3,Mobile Suit Gundam IRON-BLOODED ORPHANS
Graze Ritter (Ground Type),GD02-083,3,2,White,UNIT,"【Destroyed】If it is your opponent's turn, choose 1 of your (Gjallarhorn) Units. Set it as active.",Earth,(Gjallarhorn),-,3/2,Mobile Suit Gundam IRON-BLOODED ORPHANS
Lauda's Dilanza,GD02-084,2,2,White,UNIT,-,Space Earth,(Academy),(Academy) Trait,1/3,Mobile Suit Gundam the Witch from Mercury
Four Murasame,GD02-085,5,1,Blue,PILOT,"【Burst】Add this card to your hand. 【During Link】【Once per Turn】During your turn, when this Unit recovers HP, if you have 4 or less cards in your hand, draw 1.",-,(Titans) (Cyber-Newtype),-,+2/+1,Mobile Suit Z Gundam
Jerid Messa,GD02-086,3,1,Blue,PILOT,"【Burst】Add this card to your hand. While you have another (Titans) Unit in play, this gets AP+1.",-,(Titans),-,+1/+1,Mobile Suit Z Gundam
"Orga, Crot, and Shani",GD02-087,5,1,Blue,PILOT,"【Burst】Add this card to your hand. 【When Linked】If this is a blue Unit, choose 1 enemy Unit with <Blocker>. Rest it.",-,(Earth Alliance) (Biological CPU),-,+2/+1,Mobile Suit Gundam SEED
Flit Asuno,GD02-088,3,1,Green,PILOT,"【Burst】Add this card to your hand. 【When Linked】Look at the top 3 cards of your deck. You may reveal 1 green (Earth Federation) Unit card/1 card with ""AGE Device"" in its card name among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck.",-,(Earth Federation) (Asuno Family) (X-Rounder),-,+1/+1,Mobile Suit Gundam AGE
Lalah Sune,GD02-089,3,1,Green,PILOT,"【Burst】Add this card to your hand. 【When Paired】Choose 1 of your other (Zeon) Link Units. It gains <Breach 1> during this turn. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",-,(Zeon) (Newtype),-,+1/+1,Mobile Suit Gundam
Challia Bull (GQ),GD02-090,5,1,Green,PILOT,"【Burst】Add this card to your hand. While you have another Unit with <High-Maneuver> in play, this Unit gets AP+1.",-,(Zeon) (Newtype),-,+1/+2,Mobile Suit Gundam GQuuuuuuX
Haman Karn,GD02-091,5,1,Red,PILOT,"【Burst】Add this card to your hand. 【When Paired】If this Unit is red, choose 1 enemy Unit whose Lv. is equal to or lower than this Unit. Deal 1 damage to it.",-,(Neo Zeon) (Newtype),-,+2/+1,Mobile Suit Z Gundam
Shagia Frost,GD02-092,4,1,Red,PILOT,【Burst】Add this card to your hand. 【During Link】【Attack】Choose 1 of your (New UNE) Units. It gets AP+2 during this turn.,-,(New UNE),-,+1/+2,After War Gundam X
Olba Frost,GD02-093,3,1,Red,PILOT,"【Burst】Add this card to your hand. During your turn, when this Unit destroys an enemy Unit paired with a (Newtype) Pilot with battle damage, draw 1.",-,(New UNE),-,+1/+1,After War Gundam X
Garrod Ran & Tiffa Adill,GD02-094,4,1,Purple,PILOT,"【Burst】Add this card to your hand. 【When Paired】You may discard 1. If you do, look at the top 3 cards of your deck. You may reveal 1 (Vulture) Unit card among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck.",-,(Vulture) (Newtype),-,+1/+2,After War Gundam X
Lafter Frankland,GD02-095,4,1,Purple,PILOT,"【Burst】Add this card to your hand. 【Attack】If this Unit is damaged and Lv.5 or lower, it gains <High-Maneuver> during this battle. (This Unit can't be blocked.)",-,(Teiwaz),-,+2/+1,Mobile Suit Gundam IRON-BLOODED ORPHANS
Desil Galette,GD02-096,4,1,Purple,PILOT,【Burst】Add this card to your hand. 【When Linked】You may choose 1 (Vagan) Unit card that is Lv.2 or lower from your trash. Pay its cost to deploy it.,-,(Vagan) (X-Rounder),-,+2/+1,Mobile Suit Gundam AGE
Kamille Bidan,GD02-097,5,1,White,PILOT,"【Burst】Add this card to your hand. While there is a friendly white Base in play, this Unit gets AP+2.",-,(AEUG) (Newtype),-,+1/+2,Mobile Suit Z Gundam
Quattro Bajeena,GD02-098,4,1,White,PILOT,"This card's name is also treated as [Char Aznable]. 【Burst】Add this card to your hand. 【When Linked】If this is an (AEUG) Unit, draw 1. If you do, discard 1.",-,(AEUG) (Newtype),-,+1/+2,Mobile Suit Z Gundam
Gaelio Bauduin,GD02-099,3,1,White,PILOT,"【Burst】Add this card to your hand. 【When Paired】If there are 4 or more (Gjallarhorn) cards in your trash, choose 1 enemy Unit. It gets AP-2 during this turn.",-,(Gjallarhorn),-,+1/+1,Mobile Suit Gundam IRON-BLOODED ORPHANS
Dramatic Turnabout,GD02-100,5,2,Blue,COMMAND,"【Burst】Draw 1. 【Main】Choose 1 friendly damaged Unit. It recovers 2 HP. Then, draw 1.",-,-,-,-/-,Mobile Suit Gundam SEED
Beneath the Mask,GD02-101,1,1,Blue,COMMAND,【Main】/【Action】Choose 1 to 2 enemy Units that are Lv.2 or lower. Rest them.,-,-,-,-/-,Mobile Suit Gundam Wing
Mouar’s Determination,GD02-102,2,1,Blue,COMMAND,【Main】/【Action】Choose 1 friendly (Titans) Unit. It gets AP+2 during this turn. 【Pilot】[Mouar Pharaoh],-,(Titans),-,+1/+0,Mobile Suit Z Gundam
AGE Device,GD02-103,4,2,Green,COMMAND,"【Burst】Choose 1 (Asuno Family) Pilot card from your trash. Add it to your hand. 【Main】If you have an (AGE System) Unit in play, place 1 EX Resource.",-,-,-,-/-,Mobile Suit Gundam AGE
Turning Point of History,GD02-104,1,1,Green,COMMAND,"【Main】Look at the top 3 cards of your deck and return 1 to the top. Return the remaining cards to the bottom of your deck. Then, if you have a (Newtype) Pilot in play, draw 1.",-,-,-,-/-,Mobile Suit Gundam GQuuuuuuX
Valedictorian,GD02-105,2,1,Green,COMMAND,【Action】Choose 1 of your Unit tokens. It can't receive battle damage from enemy Units during this battle. 【Pilot】[Xavier Olivette],-,(Zeon) (Newtype),-,+1/+0,Mobile Suit Gundam GQuuuuuuX
White Wolf,GD02-106,3,1,Green,COMMAND,"【Action】During this battle, your shield area cards can't receive damage from enemy Units that are Lv.3 or lower. 【Pilot】[Woolf Enneacle]",-,(Earth Federation),-,+1/+0,Mobile Suit Gundam AGE
All-Range Attack,GD02-107,4,2,Red,COMMAND,【Burst】Choose 1 enemy Unit. Deal 1 damage to it. 【Main】Deal 1 damage to all enemy Units other than Link Units.,-,-,-,-/-,Mobile Suit Z Gundam
That One Looks A Lot Stronger?,GD02-108,3,1,Red,COMMAND,"【Main】Choose 1 friendly (Clan) Unit. During this turn, it may choose an active enemy Unit that is Lv.4 or lower as its attack target.",-,-,-,-/-,Mobile Suit Gundam GQuuuuuuX
Undying Persistence,GD02-109,4,1,Red,COMMAND,【Main】/【Action】Choose 1 enemy Unit. Deal 1 damage to it. 【Pilot】[Shiiko Sugai],-,(Clan) (Newtype),-,+1/+1,Mobile Suit Gundam GQuuuuuuX
Awakened Power,GD02-110,6,2,Purple,COMMAND,【Main】Choose 1 Unit card that is Lv.5 or lower from your trash. Pay its cost to deploy it.,-,-,-,-/-,After War Gundam X
Decisive Last Resort,GD02-111,5,4,Purple,COMMAND,"【Burst】Choose 1 enemy Unit that is Lv.3 or lower. Deal 2 damage to it. 【Main】Choose 6 purple Unit cards from your trash. Exile them from the game. If you do, choose 1 enemy Unit. Destroy it.",-,-,-,-/-,After War Gundam X
Momentary Respite,GD02-112,4,3,Purple,COMMAND,【Burst】Draw 1. 【Main】Choose 1 purple Pilot card from your trash. Add it to your hand.,-,-,-,-/-,Mobile Suit Gundam IRON-BLOODED ORPHANS
Sisterly Care,GD02-113,4,2,Purple,COMMAND,"【Main】/【Action】If a friendly (Teiwaz) Link Unit is in play, choose 1 enemy Unit with 2 or less AP. Destroy it. 【Pilot】[Amida Arca]",-,(Teiwaz),-,+1/+1,Mobile Suit Gundam IRON-BLOODED ORPHANS
It's Name is Ryusei-Go,GD02-114,2,1,Purple,COMMAND,【Main】/【Action】Choose 1 damaged friendly Unit. It gets AP+2 during this turn. 【Pilot】[Norba Shino],-,(Tekkadan) (Alaya-Vijnana),-,+1/+0,Mobile Suit Gundam IRON-BLOODED ORPHANS
Familial Devotion,GD02-115,2,1,Purple,COMMAND,【Main】/【Action】Choose 1 friendly (Vulture) Unit. It gets AP+2 during this turn. 【Pilot】[Witz Sou],-,(Vulture),-,+0/+1,After War Gundam X
Comrades Come First,GD02-116,3,1,Purple,COMMAND,"【Main】If there are 7 or more cards in your trash, choose 1 friendly (Vulture) Unit. During this turn, it may choose an active enemy Unit that is Lv.4 or lower as its attack target. 【Pilot】[Roybea Loy]",-,(Vulture),-,+1/+0,After War Gundam X
A New Sign,GD02-117,4,3,White,COMMAND,"【Burst】Choose 1 (AEUG) Base card from your trash. Add it to your hand. 【Main】Draw 3. Then, discard 2.",-,-,-,-/-,Mobile Suit Z Gundam
Heart Set on Revenge,GD02-118,3,1,White,COMMAND,【Action】Choose 1 enemy Unit with 4 or less HP battling a friendly Unit with <Blocker>. Return it to its owner's hand. 【Pilot】[Ein Dalton],-,(Gjallarhorn),-,+1/+0,Mobile Suit Gundam IRON-BLOODED ORPHANS
Persistent and Fortudinous,GD02-119,2,1,White,COMMAND,"【Action】If you have a (Gjallarhorn) Link Unit in play, choose 1 enemy Unit. It gets AP-3 during this battle. 【Pilot】[Carta Issue]",-,(Gjallarhorn),-,+1/+0,Mobile Suit Gundam IRON-BLOODED ORPHANS
