CardName,Code,Level,Cost,Color,Type,Abilities,Zone,Trait,Link,AP/HP,Source Title
Loto,GD01-011,2,2,Blue,UNIT,-,Space Earth,(Earth Federation),(Earth Federation) Trait,2/2,Mobile Suit Gundam Unicorn
Zechs' Leo,GD01-012,3,2,Blue,UNIT,【When Paired】Choose 1 enemy Unit with 3 or less HP. Rest it.,Space Earth,(OZ),(OZ) Trait,3/2,Mobile Suit Gundam Wing
Gundam,GD01-013,4,2,Blue,UNIT,-,Space Earth,(Earth Federation) (White Base Team),[Amuro Ray],3/4,Mobile Suit Gundam
G-Sky Easy,GD01-014,3,2,Blue,UNIT,【During Link】【Activate･Action】【Once per Turn】Choose 1 Unit. It recovers 1 HP.,Space Earth,(Earth Federation) (White Base Team),(White Base Team) Trait,1/3,Mobile Suit Gundam
Ball,GD01-015,1,1,Blue,UNIT,【Attack】Choose 1 of your Units. It recovers 1 HP.,Space,(Earth Federation),-,1/1,Mobile Suit Gundam
Jegan,GD01-016,3,2,Blue,UNIT,"While you have 2 or more (Earth Federation) Units in play, this card in your hand gets cost -1.",Space Earth,(Earth Federation),-,2/3,Mobile Suit Gundam Unicorn
Stark Jegan,GD01-017,3,3,Blue,UNIT,"<Repair 1> (At the end of your turn, this Unit recovers the specified number of HP.)",Space Earth,(Earth Federation),(Earth Federation) Trait,3/3,Mobile Suit Gundam Unicorn
ReZEL,GD01-018,3,2,Blue,UNIT,-,Space Earth,(Earth Federation),-,4/3,Mobile Suit Gundam Unicorn
Byarlant Custom,GD01-019,4,2,Blue,UNIT,"While 4 or more enemy Units are in play, this Unit gains <Blocker>. (Rest this Unit to change the attack target to it.)",Space Earth,(Earth Federation),-,3/4,Mobile Suit Gundam Unicorn
Anksha,GD01-020,4,2,Blue,UNIT,【Deploy】Choose 1 rested enemy Unit. Deal 1 damage to it.,Earth,(Earth Federation),-,3/3,Mobile Suit Gundam Unicorn
Pisces,GD01-021,1,1,Blue,UNIT,-,Earth,(OZ),-,1/2,Mobile Suit Gundam Wing
Cancer,GD01-022,2,2,Blue,UNIT,-,Earth,(OZ),-,2/3,Mobile Suit Gundam Wing
Char's Gelgoog,GD01-023,4,4,Green,UNIT,"【Activate･Main】Discard 1 (Zeon)/(Neo Zeon) Unit card：If a Pilot is not paired with this Unit, choose 1 (Newtype) Pilot card that is Lv.3 or lower from your trash. Pair it with this Unit.",Space Earth,(Zeon),[Char Aznable],4/3,Mobile Suit Gundam
Wing Gundam Zero,GD01-024,8,8,Green,UNIT,<High-Maneuver> (This Unit can't be blocked.) 【Deploy】Deal 3 damage to all Units that are Lv.5 or lower.,Space Earth,(G Team),[Heero Yuy],5/7,Mobile Suit Gundam Wing
Gundam Deathscythe,GD01-025,6,4,Green,UNIT,"【When Paired･(Operation Meteor) Pilot】Place 1 rested Resource. Then, this Unit gains <First Strike> during this turn. (While this Unit is attacking, it deals damage before the enemy Unit.)",Earth,(Operation Meteor),[Duo Maxwell],5/4,Mobile Suit Gundam Wing
Char's Zaku Ⅱ,GD01-026,3,2,Green,UNIT,【During Pair】【Destroyed】Deploy 1 rested [Char's Zaku Ⅱ]((Zeon)･AP3･HP1) Unit token.,Space Earth,(Zeon),[Char Aznable],3/2,Mobile Suit Gundam
Big Zam,GD01-027,7,5,Green,UNIT,"<Breach 4> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.) 【Deploy】If there are 10 or more (Zeon)/(Neo Zeon) Unit cards in your trash, deal 4 damage to all Units with <Blocker>.",Space Earth,(Zeon),[Dozle Zabi],5/6,Mobile Suit Gundam
Gundam Sandrock,GD01-028,5,3,Green,UNIT,【Deploy】You may deploy 1 (Maganac Corps) Unit card from your hand.,Earth,(Operation Meteor),[Quatre Raberba Winner],4/4,Mobile Suit Gundam Wing
Shenlong Gundam,GD01-029,5,4,Green,UNIT,"<Breach 4> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.) 【Attack】Choose 1 enemy Unit with <Blocker> that is Lv.3 or lower. Destroy it.",Earth,(Operation Meteor),[Chang Wufei],4/4,Mobile Suit Gundam Wing
Rick Dom,GD01-030,3,2,Green,UNIT,"<Breach 2> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",Space,(Zeon),-,3/3,Mobile Suit Gundam
Gelgoog,GD01-031,4,2,Green,UNIT,-,Space Earth,(Zeon),(Zeon) Trait,4/3,Mobile Suit Gundam
Gyan,GD01-032,4,3,Green,UNIT,【When Paired･(Zeon) Pilot】Choose 1 enemy Unit with <Blocker> that is Lv.2 or lower. Destroy it.,Space Earth,(Zeon),[M'Quve],4/3,Mobile Suit Gundam
Gundam Deathscythe,GD01-033,4,2,Green,UNIT,"<Repair 1> (At the end of your turn, this Unit recovers the specified number of HP.)",Earth,(Operation Meteor),[Duo Maxwell],4/3,Mobile Suit Gundam Wing
Gundam Heavyarms,GD01-034,4,2,Green,UNIT,"【During Pair】This Unit gains <Breach 3>. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",Earth,(Operation Meteor),[Trowa Barton],3/4,Mobile Suit Gundam Wing
Zaku Ⅱ,GD01-035,2,1,Green,UNIT,-,Space Earth,(Zeon),-,2/2,Mobile Suit Gundam
Gouf,GD01-036,2,2,Green,UNIT,-,Earth,(Zeon),-,3/2,Mobile Suit Gundam
Gogg,GD01-037,2,2,Green,UNIT,-,Earth,(Zeon),-,2/3,Mobile Suit Gundam
Adzam,GD01-038,5,4,Green,UNIT,"【Deploy】If 5 or more enemy Units are in play, deal 1 damage to all enemy Units.",Earth,(Zeon),(Zeon) Trait,2/5,Mobile Suit Gundam
Dopp,GD01-039,1,1,Green,UNIT,【Deploy】Look at the top card of your deck. Return it to the top or bottom of your deck.,Earth,(Zeon),-,1/1,Mobile Suit Gundam
Wing Gundam,GD01-040,5,2,Green,UNIT,-,Space Earth,(Operation Meteor),[Heero Yuy],4/3,Mobile Suit Gundam Wing
Shenlong Gundam,GD01-041,4,3,Green,UNIT,"<Breach 3> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",Earth,(Operation Meteor),[Chang Wufei],4/3,Mobile Suit Gundam Wing
Duo's Leo,GD01-042,2,2,Green,UNIT,This Unit may choose an active enemy Unit that is Lv.2 or lower as its attack target.,Space Earth,(Operation Meteor),[Duo Maxwell],2/2,Mobile Suit Gundam Wing
Rasid's Maganac,GD01-043,3,2,Green,UNIT,"【Deploy】Choose 1 of your green Units. During this turn, it may choose an active enemy Unit with 4 or less AP as its attack target.",Space Earth,(Maganac Corps),(Maganac Corps) Trait,2/3,Mobile Suit Gundam Wing
Kshatriya,GD01-044,5,4,Red,UNIT,【When Paired･(Cyber-Newtype)/(Newtype) Pilot】Choose 1 to 2 enemy Units. Deal 1 damage to them.,Space Earth,(Neo Zeon),[Marida Cruz],5/4,Mobile Suit Gundam Unicorn
Duel Gundam (Assault Shroud),GD01-045,5,4,Red,UNIT,【When Paired】Look at the top 3 cards of your deck. You may deploy 1 (ZAFT) Unit card that is Lv.4 or lower among them. Return the remaining cards randomly to the bottom of your deck.,Space Earth,(ZAFT),[Yzak Jule],4/4,Mobile Suit Gundam SEED
Buster Gundam,GD01-046,4,2,Red,UNIT,"【Activate･Main】<Support 3> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.) 【During Pair･(Coordinator) Pilot】【Once per Turn】When you use this Unit's <Support> to increase a (ZAFT) Unit's AP, set this Unit as active.",Space Earth,(ZAFT),[Dearka Elthman],1/4,Mobile Suit Gundam SEED
Shamblo,GD01-047,8,7,Red,UNIT,"【Attack】If 2 or more other rested friendly Units are in play, choose 1 enemy Unit. Deal 3 damage to it.",Earth,(Zeon),(Newtype) Trait / (Cyber-Newtype) Trait,6/5,Mobile Suit Gundam Unicorn
Zaku I Sniper Type,GD01-048,2,2,Red,UNIT,"【Activate･Main】<Support 1> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.) 【Deploy】Look at the top card of your deck. If it is a (Zeon)/(Neo Zeon) Unit card, you may reveal it and add it to your hand. Return any remaining card to the bottom of your deck.",Space Earth,(Zeon),(Zeon) Trait,-/1,Mobile Suit Gundam Unicorn
Blitz Gundam,GD01-049,4,3,Red,UNIT,"【Deploy】Choose 1 of your (ZAFT) Units with 5 or more AP. It gains <First Strike> during this turn. (While this Unit is attacking, it deals damage before the enemy Unit.)",Space Earth,(ZAFT),[Nicol Amarfi],3/3,Mobile Suit Gundam SEED
LaGOWE,GD01-050,3,2,Red,UNIT,"【Attack】If this Unit has 5 or more AP and it is attacking an enemy Unit, choose 1 enemy Unit. Deal 2 damage to it.",Earth,(ZAFT),(ZAFT) Trait,2/3,Mobile Suit Gundam SEED
Kshatriya,GD01-051,4,2,Red,UNIT,-,Space Earth,(Neo Zeon),(Cyber-Newtype) Trait,3/4,Mobile Suit Gundam Unicorn
Geara Zulu (Guards Type),GD01-052,4,3,Red,UNIT,【Deploy】Choose 1 enemy Unit. Deal 1 damage to it.,Space Earth,(Neo Zeon),-,2/4,Mobile Suit Gundam Unicorn
Geara Doga (Heavy Armed Type),GD01-053,4,3,Red,UNIT,【Activate･Main】【Once per Turn】①：Choose 1 enemy Unit with 2 or less AP. Deal 1 damage to it.,Space Earth,(Neo Zeon),-,4/2,Mobile Suit Gundam Unicorn
Duel Gundam,GD01-054,3,2,Red,UNIT,"While this Unit has 5 or more AP, it gains <Breach 3>. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",Space Earth,(ZAFT),(ZAFT) Trait,3/3,Mobile Suit Gundam SEED
BuCUE,GD01-055,3,2,Red,UNIT,【Activate･Main】<Support 2> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.),Earth,(ZAFT),-,2/3,Mobile Suit Gundam SEED
Geara Doga (Sleeves),GD01-056,3,2,Red,UNIT,【Destroyed】Choose 1 enemy Unit with 5 or less AP. Deal 1 damage to it.,Space Earth,(Neo Zeon),-,2/3,Mobile Suit Gundam Unicorn
Dreissen (Sleeves),GD01-057,2,2,Red,UNIT,-,Space Earth,(Neo Zeon),-,2/3,Mobile Suit Gundam Unicorn
Galluss-K,GD01-058,3,2,Red,UNIT,【Activate･Action】【Once per Turn】①：Choose 1 Unit that is Lv.4 or higher. It gets AP+1 during this battle.,Space Earth,(Zeon),-,3/2,Mobile Suit Gundam Unicorn
Zee Zulu,GD01-059,2,2,Red,UNIT,"【Attack】If you are attacking the enemy player, this Unit gets AP+2 during this battle.",Earth,(Neo Zeon),-,2/2,Mobile Suit Gundam Unicorn
Zaku Mariner,GD01-060,2,1,Red,UNIT,-,Earth,(Zeon),-,2/2,Mobile Suit Gundam Unicorn
ZuOOT,GD01-061,1,1,Red,UNIT,【Activate･Main】<Support 1> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.),Earth,(ZAFT),-,-/2,Mobile Suit Gundam SEED
GOOhN,GD01-062,1,1,Red,UNIT,-,Earth,(ZAFT),-,1/2,Mobile Suit Gundam SEED
ZnO,GD01-063,2,2,Red,UNIT,"During your turn, while this Unit is battling an enemy Unit that is Lv.2 or lower, it gains <First Strike>. (While this Unit is attacking, it deals damage before the enemy Unit.)",Earth,(ZAFT),(ZAFT) Trait,2/1,Mobile Suit Gundam SEED
DINN,GD01-064,2,2,Red,UNIT,-,Earth,(ZAFT),-,3/2,Mobile Suit Gundam SEED
Freedom Gundam,GD01-065,7,5,White,UNIT,"<Blocker> (Rest this Unit to change the attack target to it.) 【During Pair】【Once per Turn】When you pair a Pilot with this Unit or one of your white Units, choose 1 enemy Unit. It gets AP-2 during this turn.",Space Earth,(Triple Ship Alliance),[Kira Yamato],4/6,Mobile Suit Gundam SEED
Justice Gundam,GD01-066,7,5,White,UNIT,【Deploy】Deploy 1 [Fatum-00]((Triple Ship Alliance)･AP2･HP2･<Blocker>) Unit token. 【During Pair】【Attack】Choose 1 of your (Triple Ship Alliance) Unit tokens. It may attack on the turn it is deployed.,Space Earth,(Triple Ship Alliance),[Athrun Zala],5/5,Mobile Suit Gundam SEED
Gundam Aerial Rebuild,GD01-067,6,5,White,UNIT,【When Paired】Choose 1 Command card that is Lv.5 or lower from your trash. Add it to your hand.,Space Earth,(Academy),[Suletta Mercury],5/4,Mobile Suit Gundam the Witch from Mercury
Perfect Strike Gundam,GD01-068,5,3,White,UNIT,<Blocker> (Rest this Unit to change the attack target to it.) 【Deploy】Choose 1 enemy Unit with 1 HP. Return it to its owner's hand.,Space Earth,(Triple Ship Alliance),(Earth Alliance) Trait,4/4,Mobile Suit Gundam SEED
Strike Rouge,GD01-069,3,2,White,UNIT,【Activate･Main】【Once per Turn】①：Choose 1 of your rested white Units with <Blocker>. Set it as active. It can't attack during this turn.,Space Earth,(Triple Ship Alliance),(Orb) Trait,3/2,Mobile Suit Gundam SEED
Gundam Aerial,GD01-070,5,3,White,UNIT,"While there are 4 or more Command cards in your trash, this card in your hand gets cost -2.",Space Earth,(Academy),[Suletta Mercury],3/3,Mobile Suit Gundam the Witch from Mercury
Gundam Pharact,GD01-071,4,3,White,UNIT,【During Link】【Attack】Choose 1 enemy Unit. It gets AP-2 during this battle.,Space Earth,(Academy),(Academy) Trait,3/4,Mobile Suit Gundam the Witch from Mercury
Launcher Strike Gundam,GD01-072,4,3,White,UNIT,<Blocker> (Rest this Unit to change the attack target to it.),Space Earth,(Earth Alliance),(Earth Alliance) Trait,3/4,Mobile Suit Gundam SEED
Sword Strike Gundam,GD01-073,4,3,White,UNIT,【During Link】【Attack】Choose 1 enemy Unit with 2 or less HP. Return it to its owner's hand.,Space Earth,(Earth Alliance),(Earth Alliance) Trait,4/3,Mobile Suit Gundam SEED
Chuchu's Demi Trainer,GD01-074,2,2,White,UNIT,"【Attack】Draw 1. Then, discard 1.",Space Earth,(Academy),[Chuatury Panlunch],3/1,Mobile Suit Gundam the Witch from Mercury
Darilbalde,GD01-075,3,2,White,UNIT,【Deploy】Choose 1 enemy Unit with 1 HP. Return it to its owner's hand.,Space Earth,(Academy),(Academy) Trait,4/2,Mobile Suit Gundam the Witch from Mercury
Michaelis,GD01-076,3,2,White,UNIT,"While there are 4 or more Command cards in your trash, this Unit gets AP+1 and HP+1.",Space Earth,(Academy),(Academy) Trait,3/3,Mobile Suit Gundam the Witch from Mercury
Strike Gundam,GD01-077,4,2,White,UNIT,-,Space Earth,(Earth Alliance),[Kira Yamato],3/4,Mobile Suit Gundam SEED
Mistral,GD01-078,1,1,White,UNIT,【Deploy】Choose 1 enemy Unit. It gets AP-1 during this turn.,Space,(Earth Alliance),-,1/1,Mobile Suit Gundam SEED
Skygrasper,GD01-079,2,2,White,UNIT,-,Earth,(Earth Alliance),(Earth Alliance) Trait,2/2,Mobile Suit Gundam SEED
Cagalli's Skygrasper,GD01-080,2,2,White,UNIT,【Destroyed】Choose 1 enemy Unit that is Lv.2 or lower. Return it to its owner's hand.,Earth,(Earth Alliance),[Cagalli Yula Athha],2/1,Mobile Suit Gundam SEED
M1 Astray,GD01-081,2,2,White,UNIT,"While you have another (Triple Ship Alliance) Unit in play, this Unit gets AP+1 and <Blocker>. (Rest this Unit to change the attack target to it.)",Space Earth,(Triple Ship Alliance),-,2/2,Mobile Suit Gundam SEED
Gundam Aerial (Mirasoul Flight Unit),GD01-082,4,3,White,UNIT,【During Pair】【Activate･Action】【Once per Turn】②：Choose 1 enemy Unit. It gets AP-1 during this battle.,Space Earth,(Academy),[Suletta Mercury],4/3,Mobile Suit Gundam the Witch from Mercury
Guel's Dilanza,GD01-083,2,2,White,UNIT,-,Space Earth,(Academy),(Academy) Trait,2/2,Mobile Suit Gundam the Witch from Mercury
Beguir-Pente,GD01-084,2,2,White,UNIT,-,Space Earth,(Academy),-,2/3,Mobile Suit Gundam the Witch from Mercury
Demi Garrison,GD01-085,2,1,White,UNIT,-,Space Earth,(Academy),-,2/2,Mobile Suit Gundam the Witch from Mercury
Gundam Lfrith,GD01-086,3,2,White,UNIT,<Blocker> (Rest this Unit to change the attack target to it.),Space Earth,(Vanadis Institute),-,2/4,Mobile Suit Gundam the Witch from Mercury
Sayla Mass,GD01-087,3,1,Blue,PILOT,"【Burst】Add this card to your hand. While this Unit is blue, it gains <Repair 1>. (At the end of your turn, this Unit recovers the specified number of HP.)",-,(Earth Federation) (White Base Team) (Newtype),-,+1/+1,Mobile Suit Gundam
Banagher Links,GD01-088,5,1,Blue,PILOT,【Burst】Add this card to your hand. 【When Linked】Draw 1.,-,(Civilian) (Newtype),-,+2/+2,Mobile Suit Gundam Unicorn
Riddhe Marcenas,GD01-089,3,1,Blue,PILOT,"【Burst】Add this card to your hand. While this Unit has <Repair>, it gets AP+1.",-,(Earth Federation),-,+1/+1,Mobile Suit Gundam Unicorn
Duo Maxwell,GD01-090,4,1,Green,PILOT,【Burst】Add this card to your hand. 【During Link】This Unit's AP can't be reduced by enemy effects.,-,(Operation Meteor),-,+1/+2,Mobile Suit Gundam Wing
Chang Wufei,GD01-091,4,1,Green,PILOT,"【Burst】Add this card to your hand. During your turn, while this Unit has <Breach>, it can't receive battle damage from enemy Units with 3 or less AP.",-,(Operation Meteor),-,+2/+1,Mobile Suit Gundam Wing
M'Quve,GD01-092,3,1,Green,PILOT,"【Burst】Add this card to your hand. While this Unit is (Zeon), it gains <Breach 1>. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",-,(Zeon),-,+1/+1,Mobile Suit Gundam
Marida Cruz,GD01-093,4,1,Red,PILOT,【Burst】Add this card to your hand. 【During Link】【Attack】Choose 1 enemy Unit whose Lv. is equal to or lower than this Unit. Deal 1 damage to it.,-,(Neo Zeon) (Cyber-Newtype),-,+2/+1,Mobile Suit Gundam Unicorn
Yzak Jule,GD01-094,3,1,Red,PILOT,"【Burst】Add this card to your hand. 【Once per Turn】 When an enemy Link Unit is destroyed with damage while this Unit is attacking, draw 1.",-,(ZAFT) (Coordinator),-,+1/+1,Mobile Suit Gundam SEED
Dearka Elthman,GD01-095,3,1,Red,PILOT,"【Burst】Add this card to your hand. 【When Linked】Discard 1. If you do, draw 1.",-,(ZAFT) (Coordinator),-,+1/+1,Mobile Suit Gundam SEED
Cagalli Yula Athha,GD01-096,4,1,White,PILOT,"【Burst】Add this card to your hand. While this Unit is white, it gains <Blocker>. (Rest this Unit to change the attack target to it.)",-,(Orb),-,+1/+1,Mobile Suit Gundam SEED
Guel Jeturk,GD01-097,3,1,White,PILOT,"【Burst】Add this card to your hand. 【Activate･Main】【Once per Turn】If your opponent has 8 or more cards in their hand, set this Unit as active. It can't attack during this turn.",-,(Academy),-,+1/+1,Mobile Suit Gundam the Witch from Mercury
Elan Ceres (Enhanced Person Number 4),GD01-098,4,1,White,PILOT,"【Burst】Add this card to your hand. 【Activate･Action】【Once per Turn】If an enemy Unit with 1 or less AP is in play, this Unit recovers 1 HP.",-,(Academy),-,+2/+1,Mobile Suit Gundam the Witch from Mercury
Intercept Orders,GD01-099,4,2,Blue,COMMAND,【Burst】Choose 1 enemy Unit with 5 or less HP. Rest it. 【Main】/【Action】Choose 1 to 2 enemy Units with 3 or less HP. Rest them.,-,-,-,-/-,Mobile Suit Gundam
A Show of Resolve,GD01-100,4,3,Blue,COMMAND,【Main】Draw 2.,-,-,-,-/-,Mobile Suit Gundam Unicorn
Deep Devotion,GD01-101,2,1,Blue,COMMAND,【Main】/【Action】Choose 1 friendly Link Unit. It recovers 3 HP. 【Pilot】[Lucrezia Noin],-,(OZ),-,+1/+0,Mobile Suit Gundam Wing
Securing the Supply Line,GD01-102,4,2,Blue,COMMAND,【Main】All friendly Units that are Lv.4 or lower recover 2 HP.,-,-,-,-/-,Mobile Suit Gundam
The Stubborn Cog,GD01-103,1,1,Blue,COMMAND,【Main】Choose 1 active friendly (Earth Federation) Unit and 1 active enemy Unit. Rest them. 【Pilot】[Daguza Mackle],-,(Earth Federation),-,+0/+1,Mobile Suit Gundam Unicorn
Signs of a Revolution,GD01-104,3,2,Blue,COMMAND,【Burst】Draw 1. 【Main】Choose 1 rested enemy Unit. Deal 2 damage to it.,-,-,-,-/-,Mobile Suit Gundam Wing
"Citizens, Take a Stand!",GD01-105,4,1,Green,COMMAND,【Burst】Add this card to your hand. 【Main】All your Units get AP+2 during this turn.,-,-,-,-/-,Mobile Suit Gundam
Fortress Defense,GD01-106,5,2,Green,COMMAND,【Main】Deploy 2 [Zaku Ⅱ]((Zeon)･AP1･HP1) Unit tokens. 【Pilot】[Dozle Zabi],-,(Zeon),-,+1/+0,Mobile Suit Gundam
First Contact,GD01-107,3,3,Green,COMMAND,【Burst】Place 1 EX Resource. 【Main】Place 1 rested Resource.,-,-,-,-/-,Mobile Suit Gundam Wing
Strategic Arms,GD01-108,6,6,Green,COMMAND,【Main】Deal 2 damage to all Units with <Blocker>.,-,-,-,-/-,Mobile Suit Gundam
The Path to Victory or Defeat,GD01-109,5,1,Green,COMMAND,【Main】Look at the top 5 cards of your deck. You may reveal 1 (Operation Meteor)/(G Team) Unit card/Pilot card among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck.,-,-,-,-/-,Mobile Suit Gundam Wing
Rasid's Orders,GD01-110,3,1,Green,COMMAND,"【Main】/【Action】Choose 1 Unit that is Lv.4 or higher. During this turn, it may choose an active enemy Unit with 6 or less AP as its attack target. 【Pilot】[Rasid Kurama]",-,(Maganac Corps),-,+0/+1,Mobile Suit Gundam Wing
Battle of Aces,GD01-111,3,2,Red,COMMAND,【Burst】Choose 1 enemy Unit. Deal 2 damage to it. 【Main】/【Action】Choose 1 damaged enemy Unit. Deal 3 damage to it.,-,-,-,-/-,Mobile Suit Gundam SEED
Extreme Hatred,GD01-112,6,1,Red,COMMAND,"【Main】Choose 2 of your active Units. Rest them. If you do, choose 1 enemy Unit. Deal 3 damage to it. 【Pilot】[Loni Garvey]",-,(Zeon) (Newtype),-,+1/+0,Mobile Suit Gundam Unicorn
The Desert Tiger,GD01-113,3,1,Red,COMMAND,【Main】/【Action】Choose 1 friendly (ZAFT) Unit. It gets AP+3 during this turn. 【Pilot】[Andrew Waldfeld],-,(ZAFT) (Coordinator),-,+1/+0,Mobile Suit Gundam SEED
Assault on Torrington Base,GD01-114,1,1,Red,COMMAND,【Action】Choose 2 friendly Units. They get AP+1 during this turn. 【Pilot】[Yonem Kirks],-,(Zeon),-,+1/+0,Mobile Suit Gundam Unicorn
Zeon Remnant Forces,GD01-115,2,1,Red,COMMAND,【Main】/【Action】Choose 1 enemy Unit. Deal 1 damage to it.,-,-,-,-/-,Mobile Suit Gundam Unicorn
Stealth Stratagem,GD01-116,2,1,Red,COMMAND,【Main】/【Action】Choose 1 enemy Unit with 2 or less AP. Deal 2 damage to it. 【Pilot】[Nicol Amarfi],-,(ZAFT) (Coordinator),-,+0/+1,Mobile Suit Gundam SEED
The Witch and the Bride,GD01-117,5,2,White,COMMAND,【Burst】Activate this card's 【Main】. 【Main】/【Action】Choose 1 enemy Unit with 5 or less HP. Return it to its owner's hand.,-,-,-,-/-,Mobile Suit Gundam the Witch from Mercury
Overflowing Affection,GD01-118,2,1,White,COMMAND,"【Main】Draw 2. Then, discard 1.",-,-,-,-/-,Mobile Suit Gundam SEED
Iron-Fisted Discipline,GD01-119,2,1,White,COMMAND,【Main】/【Action】Choose 1 enemy Unit that is Lv.4 or lower. It gets AP-2 during this turn. 【Pilot】[Chuatury Panlunch],-,(Academy),-,+1/+0,Mobile Suit Gundam the Witch from Mercury
Naval Bombardment,GD01-120,2,1,White,COMMAND,【Burst】Choose 1 enemy Unit. It gets AP-3 during this turn. 【Action】Choose 1 friendly Unit with <Blocker>. It gets AP+3 during this turn.,-,-,-,-/-,Mobile Suit Gundam SEED
Midair Modifications,GD01-121,3,2,White,COMMAND,【Burst】Activate this card's 【Main】. 【Main】Choose 1 rested Unit with <Blocker>. Set it as active. It can't attack during this turn.,-,-,-,-/-,Mobile Suit Gundam SEED
Covert Operative,GD01-122,3,1,White,COMMAND,"【Main】Choose 1 enemy Unit with 2 or less HP. Return it to its owner's hand. If you have a Link Unit in play, choose 1 enemy Unit with 4 or less HP instead. 【Pilot】[Shaddiq Zenelli]",-,(Academy),-,+1/+0,Mobile Suit Gundam the Witch from Mercury
Nahel Argama,GD01-123,3,2,Blue,BASE,"【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. Then, choose 1 enemy Unit with 3 or less HP. Rest it.",Space Earth,(Earth Federation) (Warship),-,-/5,Mobile Suit Gundam Unicorn
Side 7,GD01-124,1,1,Blue,BASE,【Burst】Deploy this card. 【Deploy】Add 1 of your Shields to your hand. 【Activate･Main】Rest this Base：Choose 1 friendly Unit. It recovers 1 HP.,Space,(Earth Federation) (Stronghold),-,-/4,Mobile Suit Gundam
